parameter,value,CV
U_mab_virus_Clinical VRC01|PVO.4,1,
e_goes_down_True_mab_virus_PGDM1400|1176,44.6094124117317,
e_goes_down_True_mab_virus_PGDM1400|1798,5.61257062848061,
e_goes_down_True_mab_virus_PGDM1400|2944,478.620722355141,
e_goes_down_True_mab_virus_PGDM1400|2946,1.06501751385413,
e_goes_down_True_mab_virus_PGDM1400|3430,65.2218882032399,
e_goes_down_True_mab_virus_PGDM1400|4166,193.112778586036,
e_goes_down_True_mab_virus_PGDM1400|4168,0.323076732939821,
e_goes_down_True_mab_virus_PGDM1400|Ce1176_A3,0.943413571169036,
e_goes_down_True_mab_virus_PGDM1400|PVO.4,0.861918988328298,
e_goes_down_True_mab_virus_PGDM1400|RHPA4259.7,1.90317036107132,
e_goes_down_True_mab_virus_PGDM1400|TRO.11,2.19837798584339,
e_goes_down_True_mab_virus_PGT121|1176,1.01885664797234,
e_goes_down_True_mab_virus_PGT121|1798,16.9815424894772,
e_goes_down_True_mab_virus_PGT121|2944,59.7326306182072,
e_goes_down_True_mab_virus_PGT121|2946,2.41823706662724,
e_goes_down_True_mab_virus_PGT121|3430,18.4447871607002,
e_goes_down_True_mab_virus_PGT121|4166,77.8503121808585,
e_goes_down_True_mab_virus_PGT121|4168,18.3634959922595,
e_goes_down_True_mab_virus_PGT121|Ce1176_A3,30.5227104029111,
e_goes_down_True_mab_virus_PGT121|PVO.4,6.34098251845297,
e_goes_down_True_mab_virus_PGT121|RHPA4259.7,30.900530692819,
e_goes_down_True_mab_virus_PGT121|TRO.11,47.5857129667854,
e_goes_down_True_mab_virus_VRC07-523LS|1176,16.2745779309039,
e_goes_down_True_mab_virus_VRC07-523LS|1798,2.00157538772987,
e_goes_down_True_mab_virus_VRC07-523LS|2944,11.9334327622189,
e_goes_down_True_mab_virus_VRC07-523LS|2946,1.50367995841614,
e_goes_down_True_mab_virus_VRC07-523LS|3430,19.230481898218,
e_goes_down_True_mab_virus_VRC07-523LS|4166,38.6521173436653,
e_goes_down_True_mab_virus_VRC07-523LS|4168,6.37166823612199,
e_goes_down_True_mab_virus_VRC07-523LS|Ce1176_A3,2.83099772269263,
e_goes_down_True_mab_virus_VRC07-523LS|PVO.4,8.5204244318312,
e_goes_down_True_mab_virus_VRC07-523LS|RHPA4259.7,29.3379678932954,
e_goes_down_True_mab_virus_VRC07-523LS|TRO.11,8.61692667215054,
e_goes_down_True_mab_virus_nan|1176,6.19537061708,
e_goes_down_True_mab_virus_nan|1798,1.32597043818406,
e_goes_down_True_mab_virus_nan|2944,2.62102634870356,
e_goes_down_True_mab_virus_nan|2946,2.19789296105243,
e_goes_down_True_mab_virus_nan|3430,8.00642084470765,
e_goes_down_True_mab_virus_nan|4166,0.732834139789756,
e_goes_down_True_mab_virus_nan|4168,4.99182425644929,
e_goes_down_True_mab_virus_nan|Ce1176_A3,1.54358755451988,
e_goes_down_True_mab_virus_nan|PVO.4,4.11109183818022,
e_goes_down_True_mab_virus_nan|RHPA4259.7,4.06122134588774,
e_goes_down_True_mab_virus_nan|TRO.11,4.6796518298874,
alpha_run_id_1200432,0.113881787166131,
alpha_run_id_1313842,0.123665556950159,
alpha_run_id_1313860,0.113881787166132,
alpha_run_id_1313884,0.603040241296912,
alpha_run_id_1313920,0.17333756970179,
alpha_run_id_1313938,0.154096011625308,
alpha_run_id_1313956,0.113881787147336,
alpha_run_id_1313974,0.117626831130301,
alpha_run_id_1313992,0.11388178716084,
alpha_run_id_1314016,0.11388178716613,
alpha_run_id_1314040,0.113881787166113,
alpha_run_id_1314058,0.112010229711711,
alpha_run_id_1342240,0.113881902953411,
alpha_run_id_1342258,0.0701602824658062,
alpha_run_id_1342276,0.113881794144549,
alpha_run_id_1342294,0.0191791111512247,
alpha_run_id_1342312,0.113882143110016,
alpha_run_id_1342336,0.1138830757664,
alpha_run_id_1342348,0.0312139350129206,
alpha_run_id_1342372,0.0886600918798492,
alpha_run_id_1342384,0.013961208624685,
alpha_run_id_1342396,0.0861547534975893,
alpha_run_id_1342408,0.538000664492621,
k_run_id_1200432,3.12681303999456e-16,
k_run_id_1313842,3.1267895786785e-16,
k_run_id_1313860,3.12681304021124e-16,
k_run_id_1313884,3.12681304149705e-16,
k_run_id_1313920,3.12675914374927e-16,
k_run_id_1313938,3.12681307880423e-16,
k_run_id_1313956,3.12681309462183e-16,
k_run_id_1313974,3.12681277161828e-16,
k_run_id_1313992,3.12681304008476e-16,
k_run_id_1314016,3.12681305055499e-16,
k_run_id_1314040,3.12638115379411e-16,
k_run_id_1314058,3.12685693641586e-16,
k_run_id_1342240,3.12681303999278e-16,
k_run_id_1342258,3.12681303999018e-16,
k_run_id_1342276,3.12681303999791e-16,
k_run_id_1342294,3.126813021093e-16,
k_run_id_1342312,3.1268130400321e-16,
k_run_id_1342336,3.12681303998871e-16,
k_run_id_1342348,3.12681304199261e-16,
k_run_id_1342372,3.126813039396e-16,
k_run_id_1342384,3.12680892490552e-16,
k_run_id_1342396,3.12681304119878e-16,
k_run_id_1342408,3.12681303999456e-16,
omega_U,4.41184721042043e-08,4.4703483581543e-06
omega_L,3.34000036430208e-08,3.33200093731253e-06
omega_m,4.71858225580312e-08,4.71216091538724e-06
omega_e,4.3505549991993e-08,4.4703483581543e-06
a,0.00393140330746763,
b,0.119451726060325,
