"id","U","L","m","e","alpha","k"
"130_bNAb_Combinations|1313920|sample|4|nan|1798",1,2.40278647689014e-16,0.527147566057226,4.71839498093689,0.320703537533965,0.367847860254958
"130_bNAb_Combinations|1313920|sample|5|nan|1798",1,2.40278647689014e-16,0.52714756605718,3.39205014327571,0.320703537533965,0.367847860254958
"130_bNAb_Combinations|1313920|sample|6|nan|1798",1,2.40278647689014e-16,0.52714756605724,4.28151531663864,0.320703537533965,0.367847860254958
"130_bNAb_Combinations|1313920|sample|7|nan|1798",1,2.40278647689014e-16,1.47237748188057,16.3307839213846,0.320703537533965,0.367847860254958
"130_bNAb_Combinations|1313920|sample|8|nan|1798",1,2.40278647689014e-16,1.47237748188086,17.3921933893051,0.320703537533965,0.367847860254958
"130_bNAb_Combinations|1313920|sample|9|nan|1798",1,2.40278647689014e-16,1.47237748188039,20.6168869411613,0.320703537533965,0.367847860254958
"130_bNAb_Combinations|1313920|vc|1|2|nan|1798",1,2.40292826421586e-16,0.752184200056895,1.00000007243413,0.320703537533965,0.367847860254958
"130_bNAb_Combinations|1313920|vc|2|2|nan|1798",1,2.40292826421586e-16,0.752184200056889,0.99999984844677,0.320703537533965,0.367847860254958
"130_bNAb_Combinations|1313920|vc|3|2|nan|1798",1,2.40292826421586e-16,0.752184200056897,0.999999733817014,0.320703537533965,0.367847860254958
"130_bNAb_Combinations|1313920|vc|4|2|nan|1798",1,2.40292826421586e-16,0.752184200056881,0.999999304343818,0.320703537533965,0.367847860254958
"130_bNAb_Combinations|1313920|vc|5|2|nan|1798",1,2.40292826421586e-16,0.752184200056897,1.00000020762086,0.320703537533965,0.367847860254958
"130_bNAb_Combinations|1313920|vc|6|2|nan|1798",1,2.40292826421586e-16,0.752184200056895,1.00000022721168,0.320703537533965,0.367847860254958
"130_bNAb_Combinations|1313920|vc|7|2|nan|1798",1,2.40292826421586e-16,0.752184200056896,1.00000032414228,0.320703537533965,0.367847860254958
"130_bNAb_Combinations|1313920|vc|8|2|nan|1798",1,2.40292826421586e-16,0.752184200056891,1.00000038672426,0.320703537533965,0.367847860254958
"130_bNAb_Combinations|1313938|cc|1|1|TRO.11|8301",1,2.40292826421586e-16,1.60450701190041,1.00000016667663,0.179912215574368,0.367847761227718
