parameter,value,CV
U_goes_down_False,1,
U_goes_down_True,0.982218088845084,
e_goes_down_False_mab_virus_PGT121|RHPA4259.7,293.194018216494,
e_goes_down_False_mab_virus_PGT121|TRO.11,343.003404421047,
e_goes_down_False_mab_virus_VRC07-523LS|1176,187.659452306486,
e_goes_down_False_mab_virus_VRC07-523LS|1798,19.0551988176001,
e_goes_down_False_mab_virus_VRC07-523LS|2944,115.820298077016,
e_goes_down_False_mab_virus_VRC07-523LS|2946,14.8110580084784,
e_goes_down_False_mab_virus_VRC07-523LS|3430,173.658000421118,
e_goes_down_False_mab_virus_VRC07-523LS|4166,402.190153690566,
e_goes_down_False_mab_virus_VRC07-523LS|4168,66.5540276249339,
e_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,25.9824659545967,
e_goes_down_False_mab_virus_VRC07-523LS|PVO.4,67.9213083733782,
e_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,308.842539773185,
e_goes_down_False_mab_virus_VRC07-523LS|TRO.11,65.6200138579077,
e_goes_down_False_mab_virus_nan|1176,118.241653727259,
e_goes_down_False_mab_virus_nan|1798,6.3973250374991,
e_goes_down_False_mab_virus_nan|2944,24.4680753338478,
e_goes_down_False_mab_virus_nan|2946,43.0763087440572,
e_goes_down_False_mab_virus_nan|3430,20.3478785747776,
e_goes_down_False_mab_virus_nan|4166,23.7934619764166,
e_goes_down_False_mab_virus_nan|4168,9.95639563874035,
e_goes_down_False_mab_virus_nan|Ce1176_A3,8.4567106302579,
e_goes_down_False_mab_virus_nan|PVO.4,73.7270559477719,
e_goes_down_False_mab_virus_nan|RHPA4259.7,21.2633470086648,
e_goes_down_False_mab_virus_nan|TRO.11,18.691707833169,
e_goes_down_True_mab_virus_Clinical VRC01|PVO.4,1.7624264336157,
e_goes_down_True_mab_virus_PGDM1400|1176,49.1730501425631,
e_goes_down_True_mab_virus_PGDM1400|1798,3.26140892328693,
e_goes_down_True_mab_virus_PGDM1400|2944,672.394887078259,
e_goes_down_True_mab_virus_PGDM1400|2946,1.08978355066235,
e_goes_down_True_mab_virus_PGDM1400|3430,428.47742046263,
e_goes_down_True_mab_virus_PGDM1400|4166,196.952313269831,
e_goes_down_True_mab_virus_PGDM1400|4168,0.269661688832205,
e_goes_down_True_mab_virus_PGDM1400|Ce1176_A3,1.23924271040953,
